label,role,measured_norm,iv_old_lo,iv_old_hi,iv_old_width,iv_new_lo,iv_new_hi,iv_new_width,binding_lo,binding_hi,a_oracle,a_lin,active_bound,dT_over_da
heldout_8,train,0.6000,0.0,2.6233610052034138,2.6233610052034138,-0.6473848235602436,2.6233610052034138,3.2707458287636575,H,H2,-0.0002295877125606274,-9.353827772402849e-06,,-57.02253391924635
heldout_9,train,0.1000,0.0,2.6647203636771533,2.6647203636771533,-0.6566119916447296,2.6647203636771533,3.321332355321883,H,H2,-0.00019073304190533598,-7.770278018643565e-06,,-57.025147134201596
heldout_10,train,0.3000,0.0,2.6474830342737024,2.6474830342737024,-0.6541658355395948,2.6474830342737024,3.301648869813297,H,H2,0.00041003128113766777,1.6704662312727653e-05,,-57.02427506885585
heldout_11,train,0.6000,0.0,2.6557889164103203,2.6557889164103203,-0.6542583522514867,2.6557889164103203,3.310047268661807,H,H2,0.00048154924910057676,1.9618176795538883e-05,,-57.02452395131073
validation_0,phase13-validation,0.1000,0.0,2.6763383567356183,2.6763383567356183,-0.6590572752951287,2.6763383567356183,3.335395632030747,H,H2,-0.00016588128848154854,-6.757713016967253e-06,,-57.0258661070465
validation_1,phase13-validation,0.1000,0.0,2.6641181608043554,2.6641181608043554,-0.6569645297665686,2.6641181608043554,3.321082690570924,H,H2,0.000150319782343816,6.123876598908672e-06,,-57.025185145882375
validation_2,phase13-validation,0.1000,0.0,2.674855986865564,2.674855986865564,-0.6594451079038651,2.674855986865564,3.334301094769429,H,H2,0.0001779258879273482,7.248387748677815e-06,,-57.025884408068805
validation_3,phase13-validation,0.3000,0.0,2.6389183895928077,2.6389183895928077,-0.6516523204944487,2.6389183895928077,3.2905707100872563,H,H2,3.6368841442465877e-05,1.4816891033462701e-06,,-57.02363577000339
validation_4,phase13-validation,0.3000,0.0,2.6453921360673234,2.6453921360673234,-0.6528029177621882,2.6453921360673234,3.2981950538295117,H,H2,-0.00024309654899061067,-9.903819156570053e-06,,-57.02399849460984
validation_5,phase13-validation,0.3000,0.0,2.638948595383715,2.638948595383715,-0.6517340206383618,2.638948595383715,3.290682616022077,H,H2,6.647830895015559e-05,2.708367245096515e-06,,-57.02364964451718
validation_6,phase13-validation,0.6000,0.0,2.6600326587684995,2.6600326587684995,-0.6530254075168647,2.6600326587684995,3.313058066285364,H,H2,-0.0008476294715425024,-3.4532203726603134e-05,,-57.02448399425178
validation_7,phase13-validation,0.6000,0.0,2.720593887443485,2.720593887443485,-0.6746305101267684,2.720593887443485,3.3952243975702534,H,OH,0.0003943305121197949,1.6062318275145944e-05,,-57.03062855610032
test_0,phase13-test,0.1000,0.0,2.6741221016822196,2.6741221016822196,-0.6590147024249474,2.6741221016822196,3.333136804107167,H,H2,0.00012348557111602803,5.0305972405707595e-06,,-57.02579511173763
test_1,phase13-test,0.1000,0.0,2.6694949802020473,2.6694949802020473,-0.6583277317777677,2.6694949802020473,3.327822711979815,H,H2,0.00021455783636322486,8.740786177445177e-06,,-57.02555423366053
test_2,phase13-test,0.1000,0.0,2.6668945547262846,2.6668945547262846,-0.6581955026466436,2.6668945547262846,3.325090057372928,H,H2,0.00017267980890872862,7.034750269208451e-06,,-57.02546036356103
