label,kind,requested_label_radius,measured_time_norm,measured_euclidean_norm,dt_s,success,future_dT_K,future_max_dY,increment_dT_K,increment_max_dY,scaled_future,scaled_increment,gain_future,gain_increment,gain_T,gain_Y,gain_denominator_status
transverse_r0.6_s+1,transverse_ray,0.6,0.34641016151377546,0.6,1e-07,True,0.06085333391411041,1.2927003446294716e-06,0.013120578917096282,6.9836948441981406e-06,0.0006341729939687749,0.0009391843199526272,0.6905277698018635,1.022643442810653,1.2748757937378017,0.16475925024235852,resolved
transverse_r0.6_s+1,transverse_ray,0.6,0.34641016151377546,0.6,1e-06,True,0.06331367656684961,4.039192893545707e-06,0.015580921569835482,9.730187393114376e-06,0.0007834922004952168,0.0012240745855331928,0.8531159904481129,1.3328500293423002,1.3264199095738374,0.5148094803947815,resolved
transverse_r0.6_s+1,transverse_ray,0.6,0.34641016151377546,0.6,1e-05,True,0.05450472347729374,3.931044575300469e-06,0.006771968480279611,9.622039074869138e-06,0.0007092284781726414,0.001169332396318537,0.7722529403966346,1.2732432624317416,1.1418725669763503,0.5010255931210725,resolved
transverse_r0.6_s+1,transverse_ray,0.6,0.34641016151377546,0.6,0.0001,True,0.013797589185742254,1.00472683520203e-06,0.03393516581127187,6.695721334770699e-06,0.00018024775753677135,0.0009397247630214226,0.19626518821736857,1.023231911494355,0.2890591416021419,0.12805600366240527,resolved
transverse_r0.6_s-1,transverse_ray,0.6,0.34641016151377546,0.6,1e-07,True,0.06073620639062938,1.2820064530794095e-06,0.013630938717142271,7.231848200811575e-06,0.0006297941461572959,0.0009747807608086909,0.6586255436025719,1.019405328547789,1.289371855640985,0.15405933676875802,resolved
transverse_r0.6_s-1,transverse_ray,0.6,0.34641016151377546,0.6,1e-06,True,0.06342589639370999,4.073259483983183e-06,0.016320628720222885,1.0023101231715348e-05,0.0007861905276940045,0.0012700099307386096,0.8221816078111509,1.3281498186622853,1.3464714144785308,0.48948556622486267,resolved
transverse_r0.6_s-1,transverse_ray,0.6,0.34641016151377546,0.6,1e-05,True,0.054637419195842085,3.9400290680891015e-06,0.0075321515223549795,9.889870815821267e-06,0.0007109121595986382,0.0012112154648058512,0.7434570651794986,1.2666637960911666,1.159900408051272,0.4734752025790593,resolved
transverse_r0.6_s-1,transverse_ray,0.6,0.34641016151377546,0.6,0.0001,True,0.013833796257586073,1.0073252294240387e-06,0.03327147141590103,6.957166977156204e-06,0.00018071792062189168,0.000980294876208306,0.18899102100989093,1.0251718750848091,0.29367832815378175,0.12105076100259833,resolved
transverse_r1_s+1,transverse_ray,1.0,0.5773502691896258,1.0,1e-07,True,0.10232155577068625,2.159225369807727e-06,0.02197910557015348,1.1695602220196388e-05,0.0010664913962592614,0.0015730292631065941,0.6927724558391303,1.0218097863062898,1.2735677778720238,0.1644278743930115,resolved
transverse_r1_s+1,transverse_ray,1.0,0.5773502691896258,1.0,1e-06,True,0.10643801086825988,6.7729824179130205e-06,0.026095560667727113,1.6309359268301682e-05,0.0013160849819415874,0.0020508967539282995,0.8549036853280224,1.3322233877131198,1.324804142798648,0.5157715900577097,resolved
transverse_r1_s+1,transverse_ray,1.0,0.5773502691896258,1.0,1e-05,True,0.09164597011385922,6.601887068774515e-06,0.011303519913326454,1.6138263919163176e-05,0.001191940325727671,0.0019599879278971175,0.7742616860898851,1.2731707494190136,1.1406917499418197,0.5027424523999395,resolved
transverse_r1_s+1,transverse_ray,1.0,0.5773502691896258,1.0,0.0001,True,0.02323487300236593,1.6914251233512978e-06,0.05710757719816684,1.122780197373996e-05,0.0003034954468998649,0.0015750205703792364,0.19714484975901456,1.0231033015042907,0.2891979637709861,0.12880426546320026,resolved
transverse_r1_s-1,transverse_ray,1.0,0.5773502691896258,1.0,1e-07,True,0.09871468371557057,2.051080659787319e-06,0.022884355431870063,1.2103710936545165e-05,0.00102012387682199,0.0016348629055519123,0.6330601578402182,1.0145498919798457,1.3017836787710304,0.14425495746493555,resolved
transverse_r1_s-1,transverse_ray,1.0,0.5773502691896258,1.0,1e-06,True,0.10341845472203204,6.662543625329809e-06,0.02758812643833153,1.6715173902087654e-05,0.0012827610046426696,0.0021306687587647525,0.7960453651964362,1.3222330457854843,1.3638138863795677,0.468584666670246,resolved
transverse_r1_s-1,transverse_ray,1.0,0.5773502691896258,1.0,1e-05,True,0.08916203081707863,6.419905066584741e-06,0.01333170253337812,1.6472535343342587e-05,0.0011594112958974356,0.0020308454097017893,0.7194980086821754,1.260285485739337,1.1758096375832745,0.4515196064523059,resolved
transverse_r1_s-1,transverse_ray,1.0,0.5773502691896258,1.0,0.0001,True,0.022618659650106565,1.6463672108391059e-06,0.053211668633593945,1.1698997487596952e-05,0.0002954316094137268,0.0016542676945431494,0.18333653935156283,1.0265919577139784,0.2982798592864377,0.11579097625340894,resolved
