case,measured_time_norm,reference_used,dt_s,future_dT_K,future_max_abs_dY,increment_dT_K,increment_max_abs_dY,E_max_T1_Y1e-3,E_max_T1_Y1e-4,E_max_T10_Y1e-3,enthalpy_mismatch_J_kg,elemental_mismatch_max
test_3,0.1000000000000001,oracle_canonical,1e-06,0.015056257424475916,9.637072083679143e-07,0.0037635752046298876,2.3369828479613552e-06,0.015056257424475916,0.015056257424475916,0.0015056257424475917,2.7939677238464355e-09,6.661338147750939e-16
test_3,0.1000000000000001,oracle_canonical,1e-05,0.012962815836090158,9.354312758003136e-07,0.0016701336162441294,2.3087069153937545e-06,0.012962815836090158,0.012962815836090158,0.0012962815836090158,9.313225746154785e-10,6.661338147750939e-16
test_3,0.1000000000000001,oracle_canonical,0.0001,0.003279172814472986,2.3881953925553034e-07,-0.008013509405373043,1.6120951788489712e-06,0.003279172814472986,0.003279172814472986,0.00032791728144729857,2.7008354663848877e-08,6.661338147750939e-16
test_4,0.10000000000000005,predicted_canonical,1e-07,-0.005158979560746957,1.0570093308959194e-07,-0.0012251521152393252,6.482014525410751e-07,0.005158979560746957,0.005158979560746957,0.0005158979560746957,1.6298145055770874e-09,5.551115123125783e-16
test_4,0.10000000000000005,predicted_canonical,1e-06,-0.005413692240836099,3.509220206088237e-07,-0.0014798647953284672,8.934225400603069e-07,0.005413692240836099,0.005413692240836099,0.0005413692240836098,1.862645149230957e-09,5.551115123125783e-16
test_4,0.10000000000000005,predicted_canonical,1e-05,-0.004667649045586586,3.3672766833192647e-07,-0.0007338216000789544,8.792281877834096e-07,0.004667649045586586,0.004667649045586586,0.0004667649045586586,6.05359673500061e-09,5.551115123125783e-16
test_4,0.10000000000000005,predicted_canonical,0.0001,-0.0011812257780547952,8.602101636556725e-08,0.0027526016674528364,6.285215358170504e-07,0.0011812257780547952,0.0011812257780547952,0.00011812257780547952,2.3981556296348572e-08,5.551115123125783e-16
test_4,0.10000000000000005,predicted_corrected,1e-07,0.0023384843839266978,5.295056965115563e-08,0.0004508056495069468,2.415628382324009e-07,0.0023384843839266978,0.0023384843839266978,0.00023384843839266978,9.313225746154785e-10,5.551115123125783e-16
test_4,0.10000000000000005,predicted_corrected,1e-06,0.002412253703823808,1.5180993240271334e-07,0.0005245749694040569,3.404222009839586e-07,0.002412253703823808,0.002412253703823808,0.0002412253703823808,3.958120942115784e-09,5.551115123125783e-16
test_4,0.10000000000000005,predicted_corrected,1e-05,0.0020734453146360465,1.4957853061714488e-07,0.00018576658021629555,3.381907991983901e-07,0.0020734453146360465,0.0020734453146360465,0.00020734453146360466,3.259629011154175e-09,5.551115123125783e-16
