case,measured_time_norm,variant,scaled_error,abs_dT_K,max_abs_dY,rel_dT,log_gamma_error_vs_oracle,a,decoded_status
test_5,0.10000000000000003,B,6.052346537144482e-05,0.0032210829476753133,4.14594630127052e-07,1.1720945559369267e-06,0.0004103853190622342,,simulated_or_oracle
test_5,0.10000000000000003,C,3.495526583205948e-05,0.0009958133882719267,2.496823296171957e-07,3.623587067091832e-07,,7.394715480140734e-05,admissible
test_5,0.10000000000000003,D,1.7273143655007831e-06,0.00011433167765062535,9.576875115852035e-09,4.1603255526886724e-08,,,simulated_or_oracle
test_6,0.30000000000000004,A,0.0004348584428634193,0.022191116038356995,2.698562079739286e-06,8.067452325910257e-06,,,simulated_or_oracle
test_6,0.30000000000000004,B,0.00046044449309205006,0.0250568710061998,3.11936178887251e-06,9.109281026226677e-06,-0.0041423156750369505,,simulated_or_oracle
test_6,0.30000000000000004,C,0.0004604444918992524,0.025056870787011576,3.11936178887251e-06,9.10928094654206e-06,,0.0,admissible
test_6,0.30000000000000004,D,0.0004348584428750223,0.02219111604063073,2.698562079739286e-06,8.067452326736861e-06,,,simulated_or_oracle
test_7,0.29999999999999993,A,0.0006376195325603688,0.032845825443473586,3.953688493874008e-06,1.1944477965128325e-05,,,simulated_or_oracle
test_7,0.29999999999999993,B,0.0006429609288809237,0.03299491593907078,4.259161425740343e-06,1.1998695148451528e-05,0.0018092590608372316,,simulated_or_oracle
test_7,0.29999999999999993,C,0.00012432827542859466,0.0023573882253913325,8.429839035879738e-07,8.572709418400273e-07,,0.0006199445936088471,admissible
test_7,0.29999999999999993,D,1.952129629745781e-05,0.0012750910177601327,1.1196441312630312e-07,4.636904799783374e-07,,,simulated_or_oracle
test_8,0.3,A,0.0006239929281993034,0.030914766196019627,3.881707094560705e-06,1.1240758434998123e-05,,,simulated_or_oracle
test_8,0.3,B,0.000624669097817213,0.030899846213287674,3.997710376568708e-06,1.1235333457151589e-05,-0.0006984107858596794,,simulated_or_oracle
test_8,0.3,C,0.0006246690965597701,0.030899845959083905,3.997710376568708e-06,1.123533336472187e-05,,0.0,admissible
test_8,0.3,D,0.0006239929282128212,0.03091476619874811,3.881707094560705e-06,1.1240758435990214e-05,,,simulated_or_oracle
test_9,0.30000000000000004,A,0.0007145449547985631,0.03613261036298354,4.437101008419875e-06,1.3151065611427129e-05,,,simulated_or_oracle
test_9,0.30000000000000004,B,0.000722225682423091,0.03758512172771589,4.7668324588967526e-06,1.367973132550208e-05,-0.002254320412946681,,simulated_or_oracle
test_9,0.30000000000000004,C,0.0007222256795856136,0.03758512118247381,4.7668324588967526e-06,1.3679731127052142e-05,,0.0,admissible
test_9,0.30000000000000004,D,0.0007145449548123604,0.036132610365712026,4.437101008419875e-06,1.3151065612420206e-05,,,simulated_or_oracle
test_10,0.30000000000000004,A,0.000291473324301289,0.014601063529880776,1.8119948758110738e-06,5.306150386879027e-06,,,simulated_or_oracle
test_10,0.30000000000000004,B,0.00029167509586172603,0.014405922410787753,1.8630999314983576e-06,5.235234448293291e-06,-0.00022700099033019783,,simulated_or_oracle
test_10,0.30000000000000004,C,0.00029167509509583624,0.014405922255718906,1.8630999314983576e-06,5.235234391939956e-06,,0.0,admissible
test_10,0.30000000000000004,D,0.000291473324308123,0.014601063531245018,1.8119948758110738e-06,5.3061503873748034e-06,,,simulated_or_oracle
test_11,0.6000000000000001,A,0.0015424139974399304,0.07973776458766224,9.560763327115529e-06,2.902210734242542e-05,,,simulated_or_oracle
test_11,0.6000000000000001,B,0.0017166797682229224,0.086141777263947,1.2058915012547189e-05,3.135297207477016e-05,0.014651602826763015,,simulated_or_oracle
test_11,0.6000000000000001,C,0.0011370465404032816,0.02980656189356523,7.88963852456706e-06,1.0848676825303748e-05,,0.0020332522386363023,admissible
test_11,0.6000000000000001,D,5.172192773947884e-05,0.003373567605194694,2.972127110013878e-07,1.227875419773665e-06,,,simulated_or_oracle
test_12,0.6,A,0.001720765928928736,0.08289652891244259,1.0715050793724812e-05,3.026593712946083e-05,,,simulated_or_oracle
test_12,0.6,B,0.0021446453908468637,0.07707207085650225,1.4804522361792916e-05,2.8139398375100363e-05,0.01809634154364692,,simulated_or_oracle
test_12,0.6,C,0.0031025512349807344,0.13225000133934373,2.1300953731973743e-05,4.828513664468882e-05,,0.0009675179222279028,admissible
test_12,0.6,D,0.0017207659289331177,0.08289652891335209,1.0715050793724812e-05,3.026593712979289e-05,,,simulated_or_oracle
test_13,0.6,A,0.00022306430543307394,0.011112949229300284,1.386450920681792e-06,4.037776492713091e-06,,,simulated_or_oracle
test_13,0.6,B,0.00029253668231823314,0.010308734292266308,2.002380604434334e-06,3.7455732169811293e-06,-0.005607624827475094,,simulated_or_oracle
test_13,0.6,C,0.0002925366827685327,0.010308734420050314,2.002380604434334e-06,3.7455732634101413e-06,,0.0,admissible
test_13,0.6,D,1.0309320212573658e-06,6.337256672850344e-05,6.050815515301622e-09,2.302577425122948e-08,,,simulated_or_oracle
test_14,0.6000000000000001,A,0.0004326980257425636,0.02145832775568124,2.692234934320581e-06,7.790302919837737e-06,,,simulated_or_oracle
test_14,0.6000000000000001,B,0.00044459925930656966,0.022303489159639867,3.0540928805666834e-06,8.09713313643045e-06,-0.004004121276494577,,simulated_or_oracle
test_14,0.6000000000000001,C,0.00044459925905106885,0.022303489108708163,3.0540928805666834e-06,8.097133117940033e-06,,0.0,admissible
test_14,0.6000000000000001,D,0.00043269802574481874,0.021458327756135986,2.692234934320581e-06,7.790302920002831e-06,,,simulated_or_oracle
test_15,0.6,A,0.00109403322391683,0.05748158030792183,6.7790623204389e-06,2.0976256537901525e-05,,,simulated_or_oracle
test_15,0.6,B,0.0016197908720428271,0.08103119404677273,9.81581756370753e-06,2.9570013642497837e-05,0.015772713412692374,,simulated_or_oracle
test_15,0.6,C,0.0012498778314179995,0.038371728168385744,9.945843300187412e-06,1.4002663280149152e-05,,0.0007480227139200877,admissible
test_15,0.6,D,5.1604577694109254e-05,0.00334377405442865,2.9695408106447663e-07,1.2202145799531563e-06,,,simulated_or_oracle
